person_id,display_first_last,position,season_exp,height,weight,from_year,to_year,height_inches
78190,Greg Smith,Forward,8.0,6-5,195.0,1968.0,1975.0,77.0
202962,Greg Smith,Center,6.0,6-10,250.0,2011.0,2015.0,82.0
202397,Ish Smith,Guard,13.0,6-0,175.0,2010.0,2023.0,72.0
2747,JR Smith,Guard,17.0,6-6,220.0,2004.0,2019.0,78.0
2074,Jabari Smith,Center,5.0,6-11,250.0,2000.0,2004.0,83.0
1630188,Jalen Smith,Forward-Center,3.0,6-9,215.0,2020.0,2023.0,81.0
201160,Jason Smith,Forward-Center,11.0,7-0,240.0,2007.0,2018.0,84.0
202536,Jerry Smith,Guard,1.0,6-2,190.0,2011.0,2011.0,74.0
78191,Jim Smith,Forward,2.0,6-9,225.0,1981.0,1982.0,81.0
693,Joe Smith,Forward-Center,17.0,6-10,225.0,1995.0,2010.0,82.0
2746,Josh Smith,Forward,13.0,6-9,225.0,2004.0,2017.0,81.0
78192,Keith Smith,Guard,1.0,6-3,180.0,1986.0,1986.0,75.0
181,Kenny Smith,Guard,10.0,6-3,170.0,1987.0,1996.0,75.0
78194,Labradford Smith,Forward,3.0,6-3,200.0,1991.0,1993.0,75.0
78195,Larry Smith,Forward,13.0,6-8,215.0,1980.0,1992.0,80.0
1910,Leon Smith,Forward,3.0,6-10,235.0,2001.0,2003.0,82.0
63,Michael Smith,Forward,8.0,6-8,240.0,1994.0,2000.0,80.0
78197,Michael Smith,Guard,3.0,6-10,225.0,1989.0,1994.0,82.0
2065,Mike Smith,Forward,2.0,6-8,195.0,2000.0,2000.0,80.0
202701,Nolan Smith,Guard,3.0,6-2,185.0,2011.0,2012.0,74.0
78198,Otis Smith,Forward,6.0,6-5,210.0,1986.0,1991.0,77.0
78199,Phil Smith,Guard,9.0,6-4,185.0,1974.0,1982.0,76.0
78200,Randy Smith,Guard,12.0,6-3,180.0,1971.0,1982.0,75.0
78201,Reggie Smith,Forward,2.0,6-10,240.0,1992.0,1993.0,82.0
78204,Robert Smith,Guard,7.0,5-11,165.0,1977.0,1984.0,71.0
203893,Russ Smith,Guard,2.0,6-0,165.0,2014.0,2015.0,72.0
78205,Sammy Smith,Forward,2.0,6-4,200.0,1978.0,1979.0,76.0
120,Steven Smith,Guard-Forward,15.0,6-8,221.0,1991.0,2004.0,80.0
200848,Steven Smith,Forward,2.0,6-9,250.0,2006.0,2006.0,81.0
1478,Stevin Smith,Guard,1.0,6-2,208.0,1996.0,1996.0,74.0
2604,Theron Smith,Forward,3.0,6-8,225.0,2003.0,2004.0,80.0
380,Tony Smith,Guard,9.0,,211.20112517580873,1990.0,2000.0,78.0584598088814
78208,Willie Smith,Guard,4.0,6-2,170.0,1976.0,1979.0,74.0
1629015,Zhaire Smith,Guard,3.0,6-3,205.0,2018.0,2019.0,75.0
1628372,Dennis Smith Jr.,Guard,6.0,6-2,205.0,2017.0,2023.0,74.0
1631095,Jabari Smith Jr.,Forward,1.0,6-11,220.0,2022.0,2023.0,83.0
22,Rik Smits,Center,12.0,7-4,265.0,1988.0,1999.0,88.0
1091,Mike Smrek,Center,7.0,7-0,250.0,1985.0,1991.0,84.0
1630270,Xavier Sneed,Forward,2.0,6-5,215.0,2021.0,2023.0,77.0
203503,Tony Snell,Guard,10.0,6-6,213.0,2013.0,2021.0,78.0
727,Eric Snow,Guard,14.0,6-3,205.0,1995.0,2007.0,75.0
78213,Dick Snyder,Guard,13.0,6-5,207.0,1966.0,1978.0,77.0
2745,Kirk Snyder,Forward-Guard,5.0,6-6,225.0,2004.0,2007.0,78.0
78214,George Sobek,Guard,1.0,6-0,180.0,1949.0,1949.0,72.0
78215,Ricky Sobers,Guard,11.0,6-3,198.0,1975.0,1985.0,75.0
78216,Ron Sobie,Guard,4.0,6-3,185.0,1956.0,1959.0,75.0
1631110,Jeremy Sochan,Forward,1.0,6-8,230.0,2022.0,2023.0,80.0
78217,Mike Sojourner,Center,3.0,6-9,225.0,1974.0,1976.0,81.0
2226,Will Solomon,Guard,2.0,6-1,185.0,2001.0,2008.0,73.0
78219,Willie Somerset,Guard,1.0,5-8,170.0,1965.0,1965.0,68.0
2443,Darius Songaila,Forward,9.0,6-9,248.0,2003.0,2010.0,81.0
78220,Dave Sorenson,Forward,3.0,6-8,225.0,1970.0,1972.0,80.0
203480,James Southerland,Forward,1.0,6-8,215.0,2013.0,2013.0,80.0
78221,Gino Sovran,Forward,1.0,6-2,175.0,1946.0,1946.0,74.0
1629034,Ray Spalding,Forward,2.0,6-9,225.0,2018.0,2020.0,81.0
78222,Jim Spanarkel,Guard,5.0,6-5,190.0,1979.0,1983.0,77.0
2779,Vassilis Spanoulis,Guard,1.0,6-4,195.0,2006.0,2006.0,76.0
78223,Guy Sparrow,Forward,3.0,6-6,218.0,1957.0,1959.0,78.0
600009,Rory Sparrow,Guard,12.0,6-2,175.0,1980.0,1991.0,74.0
78225,Odie Spears,Forward,8.0,6-5,205.0,1948.0,1956.0,77.0
